year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI,future_variability,future_value
1985,intervention,TotalAIDSdeathsadult,2025,100,2.2530098,2.74571225,1.4642332999999998,condom_reduction,28
1985,intervention,TotalDiagnosesPregnancy,2025,0,0,0,0,condom_reduction,28
1985,intervention,TotalDiagnosesPregnancy,2025,25,0,0,0,condom_reduction,28
1985,intervention,TotalDiagnosesPregnancy,2025,50,0,0,0,condom_reduction,28
1985,intervention,TotalDiagnosesPregnancy,2025,75,0,0,0,condom_reduction,28
1985,intervention,TotalDiagnosesPregnancy,2025,100,0,0,0,condom_reduction,28
1985,intervention,TotalHIVtests,2025,0,10.446859,13.2278575,6.848366,condom_reduction,28
1985,intervention,TotalHIVtests,2025,25,10.446859,13.2278575,6.848366,condom_reduction,28
1985,intervention,TotalHIVtests,2025,50,10.446859,13.2278575,6.848366,condom_reduction,28
1985,intervention,TotalHIVtests,2025,75,10.446859,13.2278575,6.848366,condom_reduction,28
1985,intervention,TotalHIVtests,2025,100,10.446859,13.2278575,6.848366,condom_reduction,28
1985,intervention,TotANCtests,2025,0,0,0,0,condom_reduction,28
1985,intervention,TotANCtests,2025,25,0,0,0,condom_reduction,28
1985,intervention,TotANCtests,2025,50,0,0,0,condom_reduction,28
1985,intervention,TotANCtests,2025,75,0,0,0,condom_reduction,28
1985,intervention,TotANCtests,2025,100,0,0,0,condom_reduction,28
1985,intervention,TotHIV15,2025,0,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,intervention,TotHIV15,2025,25,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,intervention,TotHIV15,2025,50,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,intervention,TotHIV15,2025,75,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,intervention,TotHIV15,2025,100,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,intervention,TotProtSexActs,2025,0,9033134,9781027.5,8536817,condom_reduction,28
1985,intervention,TotProtSexActs,2025,25,9033134,9781027.5,8536817,condom_reduction,28
1985,intervention,TotProtSexActs,2025,50,9033134,9781027.5,8536817,condom_reduction,28
1985,intervention,TotProtSexActs,2025,75,9033134,9781027.5,8536817,condom_reduction,28
1985,intervention,TotProtSexActs,2025,100,9033134,9781027.5,8536817,condom_reduction,28
1985,intervention,TotSexActs,2025,0,287397100,292137875,284949900,condom_reduction,28
1985,intervention,TotSexActs,2025,25,287397100,292137875,284949900,condom_reduction,28
