year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI
2027,intervention,NewAdultHIV,2050,10,148806,150327.9,147284.1
2027,intervention,SWsexActs,2050,10,125750000,125837400,125662600
2027,intervention,SWsexActsProt,2050,10,101707000,102035700,101378300
2027,intervention,TotalAIDSdeathsadult,2050,10,43720.25,43808.8375,43631.6625
2027,intervention,TotalHIVtests,2050,10,18581650,20310887.5,16852412.5
2027,intervention,TotProtSexActs,2050,10,193509500,197252025,189766975
2027,intervention,TotSexActs,2050,10,600186000,609275600,591096400
2028,baseline,AIDSdeathsAdultF,2050,10,21042.8,21346.515000000003,20739.084999999995
2028,baseline,AIDSdeathsAdultM,2050,10,22489.75,22851.557499999995,22127.9425
2028,baseline,ARTcoverageAdult,2050,10,0.7537255,0.756002175,0.751448825
2028,baseline,CondomUsage,2050,10,32.35099641815116,32.48510146677743,32.216891369524895
2028,baseline,FSWCondomUsage,2050,10,80.88045148067366,81.19794694148119,80.56295601986614
2028,baseline,HIVinc15to49,2050,10,0.0041778200000000005,0.004209331500000001,0.004146308499999999
2028,baseline,NewAdultHIV,2050,10,144599,146222.55000000002,142975.44999999998
2028,baseline,SWsexActs,2050,10,127928000,127997350,127858650
2028,baseline,SWsexActsProt,2050,10,103468500,103818575,103118425
2028,baseline,TotalAIDSdeathsadult,2050,10,43532.55,43590.642499999994,43474.457500000004
2028,baseline,TotalHIVtests,2050,10,18902850,20664672.5,17141027.5
2028,baseline,TotProtSexActs,2050,10,196257500,200068425,192446575
2028,baseline,TotSexActs,2050,10,606608000,615873350,597342650
2028,intervention,AIDSdeathsAdultF,2050,10,21042.8,21346.515000000003,20739.084999999995
2028,intervention,AIDSdeathsAdultM,2050,10,22489.75,22851.557499999995,22127.9425
2028,intervention,ARTcoverageAdult,2050,10,0.7537255,0.756002175,0.751448825
2028,intervention,CondomUsage,2050,10,32.35099641815116,32.48510146677743,32.216891369524895
2028,intervention,FSWCondomUsage,2050,10,80.88045148067366,81.19794694148119,80.56295601986614
2028,intervention,HIVinc15to49,2050,10,0.0041778200000000005,0.004209331500000001,0.004146308499999999
2028,intervention,NewAdultHIV,2050,10,144599,146222.55000000002,142975.44999999998
2028,intervention,SWsexActs,2050,10,127928000,127997350,127858650
2028,intervention,SWsexActsProt,2050,10,103468500,103818575,103118425
2028,intervention,TotalAIDSdeathsadult,2050,10,43532.55,43590.642499999994,43474.457500000004
2028,intervention,TotalHIVtests,2050,10,18902850,20664672.5,17141027.5
2028,intervention,TotProtSexActs,2050,10,196257500,200068425,192446575
2028,intervention,TotSexActs,2050,10,606608000,615873350,597342650
2029,baseline,AIDSdeathsAdultF,2050,10,21125.9,21435.504999999997,20816.295000000002
2029,baseline,AIDSdeathsAdultM,2050,10,22295.25,22633.6875,21956.8125
2029,baseline,ARTcoverageAdult,2050,10,0.7562685,0.758400775,0.754136225
2029,baseline,CondomUsage,2050,10,32.45160791313429,32.58425967317685,32.318956153091726
2029,baseline,FSWCondomUsage,2050,10,80.88011011121935,81.19759051579945,80.56262970663927
2029,baseline,HIVinc15to49,2050,10,0.00396099,0.003996197000000001,0.003925783
2029,baseline,NewAdultHIV,2050,10,140240.5,141961.425,138519.575
2029,baseline,SWsexActs,2050,10,129960500,130016075,129904925
2029,baseline,SWsexActsProt,2050,10,105112000,105479650,104744350
2029,baseline,TotalAIDSdeathsadult,2050,10,43421.15,43449.9825,43392.317500000005
2029,baseline,TotalHIVtests,2050,10,19222100,21015605.000000004,17428595
2029,baseline,TotProtSexActs,2050,10,198877500,202755875,194999125
2029,baseline,TotSexActs,2050,10,612800500,622246825,603354175
2029,intervention,AIDSdeathsAdultF,2050,10,21125.9,21435.504999999997,20816.295000000002
2029,intervention,AIDSdeathsAdultM,2050,10,22295.25,22633.6875,21956.8125
2029,intervention,ARTcoverageAdult,2050,10,0.7562685,0.758400775,0.754136225
2029,intervention,CondomUsage,2050,10,32.45160791313429,32.58425967317685,32.318956153091726
2029,intervention,FSWCondomUsage,2050,10,80.88011011121935,81.19759051579945,80.56262970663927
2029,intervention,HIVinc15to49,2050,10,0.00396099,0.003996197000000001,0.003925783
2029,intervention,NewAdultHIV,2050,10,140240.5,141961.425,138519.575
2029,intervention,SWsexActs,2050,10,129960500,130016075,129904925
2029,intervention,SWsexActsProt,2050,10,105112000,105479650,104744350
2029,intervention,TotalAIDSdeathsadult,2050,10,43421.15,43449.9825,43392.317500000005
2029,intervention,TotalHIVtests,2050,10,19222100,21015605.000000004,17428595
2029,intervention,TotProtSexActs,2050,10,198877500,202755875,194999125
2029,intervention,TotSexActs,2050,10,612800500,622246825,603354175
