"years","MTCTrateAtBirth_baseline","MTCTrateAtBirth_2025","MTCTrateAtBirth_2030","MTCTrateAtBirth_2035","MTCTrateAtBirth_2040","MTCTrateAtBirth_2045","MTCTrateAtBirth_2050","MTCTrateAtBirth_2055","MTCTrateAtBirth_2060","MTCTrateAtBirth_2065","MTCTrateBirthDiag_baseline","MTCTrateBirthDiag_2025","MTCTrateBirthDiag_2030","MTCTrateBirthDiag_2035","MTCTrateBirthDiag_2040","MTCTrateBirthDiag_2045","MTCTrateBirthDiag_2050","MTCTrateBirthDiag_2055","MTCTrateBirthDiag_2060","MTCTrateBirthDiag_2065"
2038,0.00919431,0.0123377,0.0117438,0.0103457,0.00919431,0.00919431,0.00919431,0.00919431,0.00919431,0.00919431,0.00656943,0.00869069,0.00830203,0.00738576,0.00656943,0.00656943,0.00656943,0.00656943,0.00656943,0.00656943
2039,0.00916946,0.0123822,0.0119001,0.0106533,0.00916946,0.00916946,0.00916946,0.00916946,0.00916946,0.00916946,0.00655688,0.00872082,0.00840136,0.00759514,0.00655688,0.00655688,0.00655688,0.00655688,0.00655688,0.00655688
2040,0.00914873,0.012418,0.0120352,0.0109409,0.0092778,0.00914873,0.00914873,0.00914873,0.00914873,0.00914873,0.0065456,0.00874409,0.00848509,0.007785,0.00664748,0.0065456,0.0065456,0.0065456,0.0065456,0.0065456
2041,0.00913316,0.0124492,0.0121537,0.0112054,0.00957674,0.00913316,0.00913316,0.00913316,0.00913316,0.00913316,0.00653614,0.00876291,0.00855661,0.00795423,0.00686268,0.00653614,0.00653614,0.00653614,0.00653614,0.00653614
2042,0.00912335,0.0124788,0.0122594,0.0114473,0.00990665,0.00912335,0.00912335,0.00912335,0.00912335,0.00912335,0.00652891,0.00877931,0.00861878,0.00810434,0.00709052,0.00652891,0.00652891,0.00652891,0.00652891,0.00652891
2043,0.0091197,0.0125095,0.0123557,0.0116689,0.0102488,0.0091197,0.0091197,0.0091197,0.0091197,0.0091197,0.00652418,0.00879498,0.00867398,0.00823806,0.00731987,0.00652418,0.00652418,0.00652418,0.00652418,0.00652418
2044,0.00912267,0.0125436,0.0124455,0.0118734,0.01059,0.00912267,0.00912267,0.00912267,0.00912267,0.00912267,0.00652212,0.00881126,0.0087241,0.00835826,0.00754149,0.00652212,0.00652212,0.00652212,0.00652212,0.00652212
2045,0.00913218,0.0125825,0.0125307,0.0120633,0.0109207,0.00925983,0.00913218,0.00913218,0.00913218,0.00913218,0.00652275,0.00882897,0.0087704,0.00846723,0.00774946,0.00662327,0.00652275,0.00652275,0.00652275,0.00652275
2046,0.00914791,0.012627,0.0126126,0.01224,0.0112357,0.00959213,0.00914791,0.00914791,0.00914791,0.00914791,0.006526,0.00884871,0.00881382,0.00856675,0.00794156,0.00685137,0.006526,0.006526,0.006526,0.006526
2047,0.00916937,0.0126773,0.0126922,0.0124048,0.0115328,0.00996239,0.00916937,0.00916937,0.00916937,0.00916937,0.00653172,0.00887082,0.00885504,0.00865803,0.00811783,0.00709678,0.00653172,0.00653172,0.00653172,0.00653172
2048,0.00919595,0.0127336,0.0127702,0.0125583,0.0118115,0.0103504,0.00919595,0.00919595,0.00919595,0.00919595,0.00653971,0.00889554,0.00889467,0.00874202,0.00827938,0.0073474,0.00653971,0.00653971,0.00653971,0.00653971
2049,0.00922721,0.0127957,0.0128477,0.0127014,0.0120722,0.0107408,0.00922721,0.00922721,0.00922721,0.00922721,0.00654973,0.00892294,0.00893325,0.0088194,0.00842759,0.00759278,0.00654973,0.00654973,0.00654973,0.00654973
2050,0.00926257,0.0128633,0.0129253,0.0128347,0.0123152,0.011122,0.00939416,0.00926257,0.00926257,0.00926257,0.00656151,0.0089529,0.00897117,0.00889068,0.00856353,0.00782573,0.00666507,0.00656151,0.00656151,0.00656151
2051,0.00930169,0.0129363,0.013004,0.0129593,0.012541,0.0114871,0.00976543,0.00930169,0.00930169,0.00930169,0.00657486,0.00898537,0.00900898,0.00895654,0.00868829,0.00804303,0.0069129,0.00657486,0.00657486,0.00657486
2052,0.00934428,0.0130143,0.0130844,0.0130765,0.0127503,0.0118326,0.010179,0.00934428,0.00934428,0.00934428,0.00658961,0.00902026,0.00904714,0.00901769,0.00880269,0.00824389,0.00718071,0.00658961,0.00658961,0.00658961
2053,0.00938941,0.0130959,0.0131663,0.0131865,0.0129427,0.0121561,0.0106121,0.00938941,0.00938941,0.00938941,0.00660539,0.00905698,0.00908557,0.00907438,0.00890695,0.00842833,0.0074549,0.00660539,0.00660539,0.00660539
2054,0.009436,0.0131798,0.0132488,0.0132895,0.0131176,0.0124557,0.0110464,0.009436,0.009436,0.009436,0.00662185,0.00909491,0.00912403,0.0091268,0.00900114,0.0085966,0.00772347,0.00662185,0.00662185,0.00662185
2055,0.0094831,0.0132644,0.0133312,0.013386,0.0132751,0.01273,0.0114677,0.00962211,0.0094831,0.0094831,0.00663863,0.00913345,0.0091623,0.00917526,0.00908548,0.00874902,0.00797779,0.00674812,0.00663863,0.00663863
2056,0.00952953,0.0133483,0.0134123,0.0134759,0.013415,0.0129777,0.0118656,0.0100235,0.00952953,0.00952953,0.00665538,0.00917191,0.00919996,0.00921995,0.00916015,0.00888568,0.00821299,0.00701416,0.00665538,0.00665538
2057,0.00957409,0.0134296,0.013491,0.0135592,0.0135378,0.0131976,0.0122336,0.0104652,0.00957409,0.00957409,0.00667168,0.00920957,0.0092365,0.00926094,0.00922541,0.00900659,0.00842677,0.00729969,0.00667168,0.00667168
2058,0.00961609,0.0135076,0.0135667,0.0136364,0.0136447,0.0133902,0.0125686,0.0109211,0.00961609,0.00961609,0.0066872,0.00924597,0.00927173,0.00929862,0.00928206,0.00911231,0.00861868,0.00758909,0.0066872,0.0066872
2059,0.00965534,0.0135818,0.0136393,0.0137085,0.0137382,0.0135572,0.0128698,0.0113715,0.00965534,0.00965534,0.00670176,0.0092809,0.00930568,0.00933356,0.00933125,0.00920389,0.00878938,0.00786915,0.00670176,0.00670176
2060,0.00969155,0.0136516,0.0137086,0.013776,0.0138202,0.0137004,0.013137,0.0118009,0.00983768,0.00969155,0.00671523,0.00931408,0.00933826,0.00936611,0.00937405,0.00928245,0.0089398,0.00813059,0.00683046,0.00671523
2061,0.00972426,0.0137163,0.0137738,0.0138389,0.0138921,0.0138216,0.0133707,0.0121992,0.0102446,0.00972426,0.00672741,0.0093451,0.00936914,0.00939635,0.00941124,0.00934899,0.00907078,0.00836846,0.0071044,0.00672741
2062,0.00975309,0.0137753,0.0138342,0.013897,0.0139549,0.0139228,0.0135716,0.0125608,0.0106899,0.00975309,0.00673817,0.00937363,0.00939801,0.00942429,0.00944351,0.00940462,0.00918331,0.00858094,0.00739611,0.00673817
2063,0.00977807,0.0138284,0.0138894,0.0139505,0.0140102,0.0140066,0.0137419,0.0128835,0.0111459,0.00977807,0.00674751,0.00939959,0.00942468,0.00945004,0.00947167,0.00945077,0.0092788,0.00876822,0.00768921,0.00674751
2064,0.00979945,0.0138758,0.0139393,0.0139995,0.0140592,0.014076,0.0138844,0.0131677,0.0115921,0.00979945,0.00675551,0.00942301,0.00944907,0.00947378,0.00949646,0.00948892,0.0093589,0.00893159,0.00797013,0.00675551
2065,0.0098178,0.0139182,0.0139843,0.0140447,0.0141034,0.014134,0.0140026,0.0134152,0.0120138,0.00996826,0.00676235,0.00944414,0.00947129,0.00949577,0.00951865,0.00952064,0.00942556,0.00907292,0.00822983,0.00688103
2066,0.00983369,0.0139561,0.0140248,0.0140863,0.0141437,0.0141832,0.0141001,0.0136285,0.0124021,0.0103695,0.00676822,0.00946321,0.00949146,0.0095162,0.00953881,0.00954735,0.00948071,0.00919423,0.00846416,0.00715558
2067,0.00984748,0.0139899,0.0140609,0.0141245,0.0141809,0.0142256,0.0141801,0.0138103,0.012753,0.0108102,0.00677326,0.00948035,0.00950965,0.0095351,0.00955731,0.00957011,0.00952604,0.00929742,0.00867218,0.00744758
2068,0.00985953,0.0140199,0.0140929,0.0141593,0.0142152,0.0142627,0.0142455,0.0139636,0.0130655,0.0112624,0.00677761,0.00949567,0.00952593,0.00955246,0.00957437,0.0095898,0.00956317,0.00938439,0.00885474,0.0077406
2069,0.00987025,0.0140465,0.0141213,0.0141908,0.0142472,0.014296,0.0142995,0.0140917,0.0133407,0.011706,0.00678141,0.00950936,0.00954046,0.0095683,0.00959023,0.00960716,0.00959365,0.00945709,0.00901361,0.00802128
2070,0.00988018,0.0140705,0.0141467,0.0142194,0.0142772,0.0143266,0.0143448,0.0141982,0.0135808,0.0121262,0.00678487,0.00952172,0.00955355,0.00958279,0.00960515,0.00962289,0.00961899,0.00951754,0.00915099,0.00828078
